==== VAE Training Run ====
Started: Tue Oct 21 08:35:33 +08 2025
Job Name: vae_train
Job ID: 2799
Node: TC2N01
GPU(s) requested: 1
Script: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py
Content Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/
Content Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/test/
Style Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Style Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/test/
Checkpoint Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/
Output File: /home/msai/birul001/gan-project/gan-HC-SCDNet/ccds-files/train_output/output_20251021_083533_2799.txt
===========================

Executing: python /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py --content_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/ --style_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Using device: cuda
Loaded validation datasets. Style: 12217, Content: 17744
✓ Loaded checkpoint from /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/beta_vae_epoch1.pth
  Resuming from epoch 2
Epoch 2/30 | Step 0/6283 | Loss 0.2075 (rec 0.1784, kl 0.0291, beta=1.00)
Epoch 2/30 | Step 100/6283 | Loss 0.2109 (rec 0.1840, kl 0.0268, beta=1.00)
Epoch 2/30 | Step 200/6283 | Loss 0.2263 (rec 0.1879, kl 0.0384, beta=1.00)
Epoch 2/30 | Step 300/6283 | Loss 0.2002 (rec 0.1748, kl 0.0254, beta=1.00)
Epoch 2/30 | Step 400/6283 | Loss 0.2183 (rec 0.1931, kl 0.0252, beta=1.00)
Epoch 2/30 | Step 500/6283 | Loss 0.1938 (rec 0.1643, kl 0.0295, beta=1.00)
Epoch 2/30 | Step 600/6283 | Loss 0.2316 (rec 0.1901, kl 0.0415, beta=1.00)
Epoch 2/30 | Step 700/6283 | Loss 0.2345 (rec 0.2024, kl 0.0321, beta=1.00)
Epoch 2/30 | Step 800/6283 | Loss 0.1971 (rec 0.1662, kl 0.0309, beta=1.00)
Epoch 2/30 | Step 900/6283 | Loss 0.2151 (rec 0.1893, kl 0.0259, beta=1.00)
Epoch 2/30 | Step 1000/6283 | Loss 0.2057 (rec 0.1807, kl 0.0251, beta=1.00)
Epoch 2/30 | Step 1100/6283 | Loss 0.2356 (rec 0.1901, kl 0.0454, beta=1.00)
Epoch 2/30 | Step 1200/6283 | Loss 0.2181 (rec 0.1842, kl 0.0339, beta=1.00)
Epoch 2/30 | Step 1300/6283 | Loss 0.2124 (rec 0.1769, kl 0.0355, beta=1.00)
Epoch 2/30 | Step 1400/6283 | Loss 0.2361 (rec 0.2143, kl 0.0217, beta=1.00)
Epoch 2/30 | Step 1500/6283 | Loss 0.2037 (rec 0.1766, kl 0.0271, beta=1.00)
Epoch 2/30 | Step 1600/6283 | Loss 0.1894 (rec 0.1643, kl 0.0252, beta=1.00)
Epoch 2/30 | Step 1700/6283 | Loss 0.2018 (rec 0.1819, kl 0.0199, beta=1.00)
Epoch 2/30 | Step 1800/6283 | Loss 0.2105 (rec 0.1751, kl 0.0354, beta=1.00)
Epoch 2/30 | Step 1900/6283 | Loss 0.2104 (rec 0.1760, kl 0.0344, beta=1.00)
Epoch 2/30 | Step 2000/6283 | Loss 0.2144 (rec 0.1896, kl 0.0248, beta=1.00)
Epoch 2/30 | Step 2100/6283 | Loss 0.2444 (rec 0.1939, kl 0.0504, beta=1.00)
Epoch 2/30 | Step 2200/6283 | Loss 0.2156 (rec 0.1874, kl 0.0282, beta=1.00)
Epoch 2/30 | Step 2300/6283 | Loss 0.2163 (rec 0.1910, kl 0.0254, beta=1.00)
Epoch 2/30 | Step 2400/6283 | Loss 0.2285 (rec 0.1669, kl 0.0616, beta=1.00)
Epoch 2/30 | Step 2500/6283 | Loss 0.2136 (rec 0.1635, kl 0.0501, beta=1.00)
Epoch 2/30 | Step 2600/6283 | Loss 0.2316 (rec 0.2019, kl 0.0298, beta=1.00)
Epoch 2/30 | Step 2700/6283 | Loss 0.2195 (rec 0.1867, kl 0.0328, beta=1.00)
Epoch 2/30 | Step 2800/6283 | Loss 0.2188 (rec 0.1920, kl 0.0268, beta=1.00)
Epoch 2/30 | Step 2900/6283 | Loss 0.2210 (rec 0.1876, kl 0.0334, beta=1.00)
Epoch 2/30 | Step 3000/6283 | Loss 0.2408 (rec 0.1970, kl 0.0438, beta=1.00)
Epoch 2/30 | Step 3100/6283 | Loss 0.2458 (rec 0.1905, kl 0.0553, beta=1.00)
Epoch 2/30 | Step 3200/6283 | Loss 0.2378 (rec 0.1965, kl 0.0413, beta=1.00)
Epoch 2/30 | Step 3300/6283 | Loss 0.2266 (rec 0.1957, kl 0.0309, beta=1.00)
Epoch 2/30 | Step 3400/6283 | Loss 0.2276 (rec 0.1830, kl 0.0446, beta=1.00)
Epoch 2/30 | Step 3500/6283 | Loss 0.2214 (rec 0.1860, kl 0.0353, beta=1.00)
Epoch 2/30 | Step 3600/6283 | Loss 0.2144 (rec 0.1855, kl 0.0289, beta=1.00)
Epoch 2/30 | Step 3700/6283 | Loss 0.2167 (rec 0.1947, kl 0.0220, beta=1.00)
Epoch 2/30 | Step 3800/6283 | Loss 0.2019 (rec 0.1798, kl 0.0221, beta=1.00)
Epoch 2/30 | Step 3900/6283 | Loss 0.2095 (rec 0.1801, kl 0.0294, beta=1.00)
Epoch 2/30 | Step 4000/6283 | Loss 0.2167 (rec 0.1913, kl 0.0254, beta=1.00)
Epoch 2/30 | Step 4100/6283 | Loss 0.2099 (rec 0.1890, kl 0.0209, beta=1.00)
Epoch 2/30 | Step 4200/6283 | Loss 0.2120 (rec 0.1908, kl 0.0213, beta=1.00)
Epoch 2/30 | Step 4300/6283 | Loss 0.2221 (rec 0.1951, kl 0.0270, beta=1.00)
Epoch 2/30 | Step 4400/6283 | Loss 0.2471 (rec 0.2141, kl 0.0330, beta=1.00)
Epoch 2/30 | Step 4500/6283 | Loss 0.2387 (rec 0.2110, kl 0.0277, beta=1.00)
Epoch 2/30 | Step 4600/6283 | Loss 0.2052 (rec 0.1744, kl 0.0308, beta=1.00)
Epoch 2/30 | Step 4700/6283 | Loss 0.2341 (rec 0.2044, kl 0.0297, beta=1.00)
Epoch 2/30 | Step 4800/6283 | Loss 0.2277 (rec 0.2019, kl 0.0258, beta=1.00)
Epoch 2/30 | Step 4900/6283 | Loss 0.2326 (rec 0.1915, kl 0.0412, beta=1.00)
Epoch 2/30 | Step 5000/6283 | Loss 0.1966 (rec 0.1611, kl 0.0355, beta=1.00)
Epoch 2/30 | Step 5100/6283 | Loss 0.2289 (rec 0.2061, kl 0.0228, beta=1.00)
Epoch 2/30 | Step 5200/6283 | Loss 0.2164 (rec 0.1856, kl 0.0308, beta=1.00)
Epoch 2/30 | Step 5300/6283 | Loss 0.2474 (rec 0.2054, kl 0.0420, beta=1.00)
Epoch 2/30 | Step 5400/6283 | Loss 0.2446 (rec 0.1896, kl 0.0550, beta=1.00)
Epoch 2/30 | Step 5500/6283 | Loss 0.2157 (rec 0.1882, kl 0.0276, beta=1.00)
Epoch 2/30 | Step 5600/6283 | Loss 0.2380 (rec 0.1988, kl 0.0392, beta=1.00)
Epoch 2/30 | Step 5700/6283 | Loss 0.2357 (rec 0.1883, kl 0.0474, beta=1.00)
Epoch 2/30 | Step 5800/6283 | Loss 0.2302 (rec 0.1789, kl 0.0514, beta=1.00)
Epoch 2/30 | Step 5900/6283 | Loss 0.2152 (rec 0.1674, kl 0.0478, beta=1.00)
Epoch 2/30 | Step 6000/6283 | Loss 0.2212 (rec 0.1995, kl 0.0216, beta=1.00)
Epoch 2/30 | Step 6100/6283 | Loss 0.2222 (rec 0.1926, kl 0.0296, beta=1.00)
Epoch 2/30 | Step 6200/6283 | Loss 0.2092 (rec 0.1857, kl 0.0235, beta=1.00)
Epoch 2 complete. Avg loss: 0.2201
Saved checkpoint epoch 2
Validation loss: 0.2261
✓ Saved best model with val loss: 0.2261
Epoch 3/30 | Step 0/6283 | Loss 0.2663 (rec 0.1989, kl 0.0385, beta=1.75)
Epoch 3/30 | Step 100/6283 | Loss 0.3591 (rec 0.1880, kl 0.0978, beta=1.75)
Epoch 3/30 | Step 200/6283 | Loss 0.3721 (rec 0.1874, kl 0.1055, beta=1.75)
Epoch 3/30 | Step 300/6283 | Loss 0.2418 (rec 0.2021, kl 0.0227, beta=1.75)
Epoch 3/30 | Step 400/6283 | Loss 0.1980 (rec 0.1767, kl 0.0122, beta=1.75)
Epoch 3/30 | Step 500/6283 | Loss 0.1901 (rec 0.1720, kl 0.0104, beta=1.75)
Epoch 3/30 | Step 600/6283 | Loss 0.2012 (rec 0.1794, kl 0.0125, beta=1.75)
Epoch 3/30 | Step 700/6283 | Loss 0.2024 (rec 0.1838, kl 0.0106, beta=1.75)
Epoch 3/30 | Step 800/6283 | Loss 0.2015 (rec 0.1824, kl 0.0109, beta=1.75)
Epoch 3/30 | Step 900/6283 | Loss 0.2090 (rec 0.1869, kl 0.0126, beta=1.75)
Epoch 3/30 | Step 1000/6283 | Loss 0.2320 (rec 0.2152, kl 0.0096, beta=1.75)
Epoch 3/30 | Step 1100/6283 | Loss 0.2282 (rec 0.2093, kl 0.0108, beta=1.75)
Epoch 3/30 | Step 1200/6283 | Loss 0.2114 (rec 0.1904, kl 0.0120, beta=1.75)
Epoch 3/30 | Step 1300/6283 | Loss 0.2043 (rec 0.1818, kl 0.0128, beta=1.75)
Epoch 3/30 | Step 1400/6283 | Loss 0.2170 (rec 0.1993, kl 0.0101, beta=1.75)
Epoch 3/30 | Step 1500/6283 | Loss 0.2229 (rec 0.2012, kl 0.0124, beta=1.75)
Epoch 3/30 | Step 1600/6283 | Loss 0.1970 (rec 0.1777, kl 0.0111, beta=1.75)
Epoch 3/30 | Step 1700/6283 | Loss 0.2376 (rec 0.2147, kl 0.0131, beta=1.75)
Epoch 3/30 | Step 1800/6283 | Loss 0.2052 (rec 0.1875, kl 0.0101, beta=1.75)
Epoch 3/30 | Step 1900/6283 | Loss 0.2175 (rec 0.1980, kl 0.0112, beta=1.75)
Epoch 3/30 | Step 2000/6283 | Loss 0.2158 (rec 0.1961, kl 0.0112, beta=1.75)
Epoch 3/30 | Step 2100/6283 | Loss 0.2292 (rec 0.2121, kl 0.0097, beta=1.75)
Epoch 3/30 | Step 2200/6283 | Loss 0.2088 (rec 0.1918, kl 0.0097, beta=1.75)
Epoch 3/30 | Step 2300/6283 | Loss 0.2192 (rec 0.2017, kl 0.0100, beta=1.75)
Epoch 3/30 | Step 2400/6283 | Loss 0.1757 (rec 0.1553, kl 0.0117, beta=1.75)
Epoch 3/30 | Step 2500/6283 | Loss 0.2219 (rec 0.2012, kl 0.0119, beta=1.75)
Epoch 3/30 | Step 2600/6283 | Loss 0.2130 (rec 0.1935, kl 0.0111, beta=1.75)
Epoch 3/30 | Step 2700/6283 | Loss 0.2302 (rec 0.2130, kl 0.0098, beta=1.75)
Epoch 3/30 | Step 2800/6283 | Loss 0.2063 (rec 0.1874, kl 0.0108, beta=1.75)
Epoch 3/30 | Step 2900/6283 | Loss 0.2105 (rec 0.1905, kl 0.0114, beta=1.75)
Epoch 3/30 | Step 3000/6283 | Loss 0.2165 (rec 0.1985, kl 0.0103, beta=1.75)
Epoch 3/30 | Step 3100/6283 | Loss 0.2068 (rec 0.1877, kl 0.0109, beta=1.75)
Epoch 3/30 | Step 3200/6283 | Loss 0.2048 (rec 0.1862, kl 0.0106, beta=1.75)
Epoch 3/30 | Step 3300/6283 | Loss 0.2108 (rec 0.1904, kl 0.0116, beta=1.75)
Epoch 3/30 | Step 3400/6283 | Loss 0.2191 (rec 0.1956, kl 0.0134, beta=1.75)
Epoch 3/30 | Step 3500/6283 | Loss 0.2194 (rec 0.2037, kl 0.0090, beta=1.75)
Epoch 3/30 | Step 3600/6283 | Loss 0.2105 (rec 0.1919, kl 0.0106, beta=1.75)
Epoch 3/30 | Step 3700/6283 | Loss 0.2028 (rec 0.1810, kl 0.0125, beta=1.75)
Epoch 3/30 | Step 3800/6283 | Loss 0.2259 (rec 0.2066, kl 0.0110, beta=1.75)
Epoch 3/30 | Step 3900/6283 | Loss 0.2094 (rec 0.1922, kl 0.0098, beta=1.75)
Epoch 3/30 | Step 4000/6283 | Loss 0.2025 (rec 0.1818, kl 0.0118, beta=1.75)
Epoch 3/30 | Step 4100/6283 | Loss 0.2042 (rec 0.1858, kl 0.0105, beta=1.75)
Epoch 3/30 | Step 4200/6283 | Loss 0.2112 (rec 0.1933, kl 0.0102, beta=1.75)
Epoch 3/30 | Step 4300/6283 | Loss 0.2301 (rec 0.2132, kl 0.0096, beta=1.75)
Epoch 3/30 | Step 4400/6283 | Loss 0.2063 (rec 0.1886, kl 0.0101, beta=1.75)
Epoch 3/30 | Step 4500/6283 | Loss 0.2239 (rec 0.2054, kl 0.0106, beta=1.75)
Epoch 3/30 | Step 4600/6283 | Loss 0.2089 (rec 0.1901, kl 0.0107, beta=1.75)
Epoch 3/30 | Step 4700/6283 | Loss 0.2244 (rec 0.2068, kl 0.0100, beta=1.75)
